Brush Prairie,WA,45.725,-122.5483,2783,1840111959
Silver Firs,WA,47.8635,-122.1497,22937,1840116409
Nespelem,WA,48.167,-118.9722,313,1840097198
Meadowdale,WA,47.8583,-122.3156,3049,1840116383
Shadow Lake,WA,47.4017,-122.0764,2655,1840116408
LaCrosse,WA,46.8021,-117.9013,324,1840096256
Concrete,WA,48.5371,-121.7512,729,1840097469
Sumas,WA,48.9956,-122.2695,1464,1840097282
Ruston,WA,47.2982,-122.51,828,1840097253
La Center,WA,45.8589,-122.6764,3171,1840097133
Marrowstone,WA,48.0568,-122.6933,1084,1840112218
Chelan Falls,WA,47.7995,-119.9882,86,1840116871
Lake Cavanaugh,WA,48.3225,-122.0122,179,1840112547
Duluth,WA,45.7838,-122.647,1379,1840118009
Sequim,WA,48.0747,-123.0944,20750,1840097857
Benton City,WA,46.2624,-119.4814,4591,1840096211
Moses Lake,WA,47.1284,-119.2741,37774,1840097187
Fircrest,WA,47.2308,-122.5157,6794,1840097071
Othello,WA,46.8222,-119.1651,12375,1840096279
Mercer Island,WA,47.5625,-122.2265,25261,1840097175
Enumclaw,WA,47.2017,-121.9897,11784,1840097521
Chico,WA,47.6234,-122.7198,2635,1840116341
Enetai,WA,47.5885,-122.6058,2231,1840116352
Hunts Point,WA,47.642,-122.229,434,1840097109
Clinton,WA,47.9731,-122.3577,811,1840111699
Hat Island,WA,48.013,-122.3201,48,1840116361
Marietta-Alderwood,WA,48.7932,-122.5566,4495,1840112211
Waitsburg,WA,46.2696,-118.151,1195,1840097315
Sunnyslope,WA,47.4913,-120.3493,3641,1840113526
South Cle Elum,WA,47.1862,-120.9525,560,1840097741
Selah,WA,46.6482,-120.5389,7859,1840097264
Lind,WA,46.9704,-118.6165,556,1840097150
Five Corners,WA,45.6883,-122.5738,18405,1840112247
Winthrop,WA,48.4716,-120.179,439,1840097814
Normandy Park,WA,47.4344,-122.3436,6649,1840097203
Home,WA,47.279,-122.7744,1375,1840116364
Graham,WA,47.0407,-122.2757,26939,1840112341
Yacolt,WA,45.865,-122.4059,1735,1840097820
Packwood,WA,46.6085,-121.6702,230,1840116884
Queets,WA,47.5314,-124.3385,199,1840116399
Finley,WA,46.1697,-119.0446,6015,1840112244
Northport,WA,48.9159,-117.7796,296,1840097666
Medina,WA,47.6256,-122.2338,3267,1840097173
Browns Point,WA,47.3036,-122.4369,1122,1840116333
Summit,WA,47.1694,-122.3628,7876,1840113514
Albion,WA,46.7916,-117.2511,608,1840096965
Sudden Valley,WA,48.7199,-122.3468,7621,1840113510
Bunk Foss,WA,47.9618,-122.0943,3604,1840116336
Gleed,WA,46.6594,-120.6025,2474,1840112326
Maryhill,WA,45.6928,-120.807,73,1840112221
Oyehut,WA,47.0233,-124.1632,0,1840118697
Alder,WA,46.7872,-122.2667,133,1840116324
Ridgefield,WA,45.8116,-122.7052,7117,1840097243
Bryant,WA,48.24,-122.1638,1990,1840116334
Nisqually Indian Community,WA,47.0178,-122.6728,690,1840112911
Porter,WA,46.9489,-123.2736,222,1840116394
Kettle Falls,WA,48.6055,-118.062,1611,1840097836
Chelan,WA,47.8417,-120.027,6078,1840097831
Edison,WA,48.5602,-122.431,156,1840112086
Neilton,WA,47.4031,-123.8782,373,1840112895
Fox Island,WA,47.2475,-122.6255,3848,1840112284
Renton,WA,47.4758,-122.1905,101379,1840097241
Baring,WA,47.7661,-121.4803,173,1840111849
Hobart,WA,47.412,-121.996,6736,1840112415
Wallula,WA,46.0847,-118.9056,329,1840113366
Touchet,WA,46.0412,-118.6724,437,1840113289
Leavenworth,WA,47.5948,-120.6633,3332,1840097609
Fobes Hill,WA,47.9391,-122.1341,2779,1840116355
Harrington,WA,47.4802,-118.2552,411,1840096249
Port Orchard,WA,47.5164,-122.661,13997,1840097233
Alderwood Manor,WA,47.8147,-122.2676,8817,1840111774
Kennewick,WA,46.1979,-119.1732,232915,1840097124
Ahtanum,WA,46.5583,-120.6109,3076,1840111760
Wilderness Rim,WA,47.4463,-121.7691,1443,1840116423
Machias,WA,47.9917,-122.0515,886,1840112192
Bingen,WA,45.7139,-121.4704,729,1840096213
Four Lakes,WA,47.5582,-117.5891,403,1840116356
Springdale,WA,48.0572,-117.7466,293,1840097745
Washtucna,WA,46.7538,-118.3106,204,1840096313
Covington,WA,47.3668,-122.1044,20916,1840096443
Allyn,WA,47.3863,-122.8386,2650,1840116869
North Sultan,WA,47.8827,-121.8251,241,1840112931
Union Gap,WA,46.5567,-120.4977,6161,1840097305
Shelton,WA,47.2188,-123.1127,19296,1840097823
Chinook,WA,46.2755,-123.9425,300,1840111677
Blaine,WA,48.9839,-122.7414,5311,1840096989
